timestamp_turkey,signal_candle_time_turkey,symbol,technical_signal,final_signal,block_reason,strength,price,entry,tp,sl,rsi_15m,macd_hist_15m,adx_15m,volume_ratio_15m,recent_move_percent,atr_percent,distance_from_ema20,ema50_15m,ema200_15m,ema50_1h,ema200_1h,rsi_1h,spread_percent,news_risk,news_summary,telegram_sent,duplicate_suppressed
2026-05-08 18:49:44 TR,2026-05-08 18:30:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,79961.62,,,,50.8212,-18.564365,20.1811,0.8873,0.2383,0.329433,0.021812,79916.0024,80386.2323,80324.4963,79566.5654,51.3245,0.002585,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 20:31:58 TR,2026-05-08 20:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80003.72,,,,52.3692,-10.159942,14.5445,0.9053,0.2806,0.294556,0.089818,79918.1114,80379.8097,80297.1128,79587.5193,44.8559,1.2e-05,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 21:28:58 TR,2026-05-08 21:00:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80200.23,,,,57.431,21.092279,15.2735,0.5557,0.2456,0.294621,0.271512,79941.5454,80370.929,80287.4692,79570.2691,49.7173,1.2e-05,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-08 23:51:11 TR,2026-05-08 23:30:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80242.96,,,,58.037,16.816469,14.1539,0.4463,0.0913,0.22539,0.176348,80014.7065,80343.1046,80275.0732,79550.8844,52.0144,1.2e-05,LOW,خبر مهم نزدیک وجود ندارد.,no,no
2026-05-09 03:12:24 TR,2026-05-09 02:45:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80192.41,,,,51.1916,-18.605845,14.8877,1.2565,0.0263,0.15863,0.006705,80104.7342,80371.2001,80267.0087,79563.7737,52.0213,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 10:26:25 TR,2026-05-09 10:00:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80189.32,,,,41.2072,-34.023442,15.8414,1.1567,0.1484,0.141043,0.185116,80275.8972,80340.4171,80284.4665,79629.4692,51.9426,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 16:42:01 TR,2026-05-09 16:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80348.42,,,,51.2113,9.670952,8.7024,1.0903,0.0068,0.098136,0.010978,80308.6937,80317.4851,80291.3643,79752.4698,55.8185,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 16:53:57 TR,2026-05-09 16:30:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80344.91,,,,50.9129,6.320615,8.6058,1.8131,0.0701,0.097445,0.00598,80310.1125,80315.1953,80291.3643,79752.4698,55.8185,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 18:33:53 TR,2026-05-09 18:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,80406.12,,,,55.9112,-0.884112,10.1602,0.9977,0.0907,0.109811,0.073981,80320.7822,80306.7062,80296.8297,79745.573,52.882,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
2026-05-09 21:38:44 TR,2026-05-09 21:15:00 TR,BTCUSDT,NO TRADE,NO TRADE,-,No Setup,81035.89,,,,81.6514,43.255698,33.9614,1.6413,0.2597,0.144106,0.490792,80478.3169,80332.2133,80337.4515,79823.4142,66.8887,1.2e-05,LOW,خبر مهم اقتصادی آمریکا در بازه امروز/فردا پیدا نشد.,no,no
